gene	canonical_length	longest_length
ACOX1	661	661
ACOX2	682	682
ACOX3	701	701
ACOXL	581	581
ACOXL-AS1	0	0
ACP1	159	159
ACP2	424	424
ACP5	326	326
ACP6	429	429
ACP7	439	439
ACPP	419	419
ACPT	427	427
ACR	422	422
ACRBP	544	544
ACRV1	266	266
ACSBG1	725	725
ACSBG2	667	667
ACSF2	616	641
ACSF3	577	577
ACSL1	699	699
ACSL3	721	721
ACSL4	712	712
ACSL5	740	740
ACSL6	723	723
ACSM1	578	578
ACSM2A	578	578
ACSM2B	578	578
ACSM3	587	587
ACSM4	581	581
ACSM5	580	583
ACSM6	481	481
ACSS1	690	690
ACSS2	715	715
ACSS3	687	687
ACTA1	378	378
ACTA2	378	378
ACTA2-AS1	0	0
ACTB	376	376
ACTBL2	377	377
ACTC1	378	378
ACTG1	376	376
ACTG1P17	0	0
ACTG1P20	0	0
ACTG1P4	0	0
ACTG2	377	377
ACTL10	246	246
ACTL6A	430	430
ACTL6B	427	427
ACTL7A	436	436
ACTL7B	416	416
ACTL8	367	367
ACTL9	417	417
ACTN1	915	915
ACTN1-AS1	0	0
ACTN2	895	895
ACTN3	945	945
ACTN4	912	912
ACTR10	418	418
ACTR1A	377	377
ACTR1B	377	377
ACTR2	400	400
ACTR3	419	419
ACTR3B	419	419
ACTR3BP2	0	0
ACTR3BP5	0	0
ACTR3C	211	211
ACTR5	608	608
ACTR6	397	397
ACTR8	625	625
ACTRT1	377	377
ACTRT2	378	378
ACTRT3	373	373
ACVR1	510	510
ACVR1B	547	547
ACVR1C	494	494
ACVR2A	514	514
ACVR2B	513	513
ACVR2B-AS1	0	0
ACVRL1	504	504
ACY1	409	409
ACY3	320	320
ACYP1	100	130
ACYP2	100	173
ADA	364	364
ADAD1	566	577
ADAD2	584	666
ADAL	329	356
ADAM10	749	749
ADAM11	770	770
ADAM12	910	910
ADAM15	864	864
ADAM17	825	825
ADAM18	740	740
ADAM19	919	919
ADAM1A	0	0
ADAM2	736	736
ADAM20	777	777
ADAM20P1	0	0
ADAM21	723	723
ADAM21P1	0	0
ADAM22	907	965
ADAM23	833	833
ADAM28	776	776
ADAM29	821	821
ADAM30	791	791
ADAM32	788	788
ADAM33	814	814
ADAM3A	0	0
ADAM3B	0	0
ADAM5	0	0
ADAM6	0	0
ADAM7	755	755
ADAM8	825	825
ADAM9	820	820
ADAMDEC1	471	471
ADAMTS1	968	968
ADAMTS10	1104	1104
ADAMTS12	1595	1595
ADAMTS13	1428	1428
ADAMTS14	1227	1227
ADAMTS15	951	951
ADAMTS16	1225	1225
ADAMTS17	1096	1096
ADAMTS18	1222	1222
ADAMTS19	1214	1214
ADAMTS19-AS1	0	0
ADAMTS2	1212	1212
ADAMTS20	1911	1911
ADAMTS3	1206	1206
ADAMTS4	838	847
ADAMTS5	931	931
ADAMTS6	1118	1118
ADAMTS7	1687	1687
ADAMTS7P1	0	0
ADAMTS8	890	890
ADAMTS9	1936	1936
ADAMTS9-AS1	0	0
ADAMTS9-AS2	0	0
ADAMTSL1	1763	1763
ADAMTSL2	952	952
ADAMTSL3	1692	1692
ADAMTSL4	1075	1098
ADAMTSL4-AS1	0	0
ADAMTSL5	472	472
ADAP1	375	386
ADAP2	382	388
ADAR	1227	1227
ADARB1	742	742
ADARB2	740	740
ADARB2-AS1	0	0
ADAT1	503	503
ADAT2	192	192
ADAT3	368	368
ADCK1	524	524
ADCK2	627	627
ADCK5	581	581
ADCY1	1120	1120
ADCY10	1611	1611
ADCY10P1	0	0
ADCY2	1092	1092
ADCY3	1145	1146
ADCY4	1078	1078
ADCY5	1262	1262
ADCY6	1169	1169
ADCY7	1081	1081
ADCY8	1252	1252
ADCY9	1354	1354
ADCYAP1	177	177
ADCYAP1R1	497	497
ADD1	769	769
ADD2	727	727
ADD3	707	707
ADD3-AS1	0	0
ADGB	1668	1668
ADGRA1	561	561
ADGRA1-AS1	0	0
ADGRA2	1339	1339
ADGRA3	1322	1322
ADGRB1	1585	1585
ADGRB2	1585	1585
ADGRB3	1523	1523
ADGRD1	875	907
ADGRE1	887	887
ADGRE2	824	824
ADGRE3	653	653
ADGRE4P	0	0
ADGRE5	836	836
ADGRF1	911	911
ADGRF2	643	643
ADGRF3	1080	1080
ADGRF4	696	696
ADGRF5	1347	1347
ADGRG1	694	694
ADGRG2	1018	1018
ADGRG3	550	550
ADGRG4	3081	3081
ADGRG5	529	529
ADGRG6	1251	1251
ADGRG7	798	798
ADGRL1	1475	1475
ADGRL2	1404	1417
ADGRL3	1470	1538
ADGRL3-AS1	0	0
ADGRL4	691	691
ADGRV1	6307	6307
ADH1A	376	376
ADH1B	376	376
ADH1C	376	376
ADH4	381	400
ADH5	375	375
ADH6	376	376
ADH7	395	395
ADHFE1	468	468
ADI1	180	180
ADIG	81	81
ADIPOQ	245	245
ADIPOQ-AS1	0	0
ADIPOR1	376	376
ADIPOR2	387	387
ADIRF	77	77
ADK	363	363
ADM	186	186
ADM2	149	149
ADM5	154	154
ADNP	1103	1103
ADNP2	1132	1132
ADNP-AS1	0	0
ADO	271	271
ADORA1	327	327
ADORA2A	413	413
ADORA2A-AS1	0	0
ADORA2B	333	333
ADORA3	319	319
ADPGK	497	497
ADPGK-AS1	0	0
ADPRH	358	358
ADPRHL1	355	355
ADPRHL2	364	364
ADPRM	343	343
ADRA1A	467	476
ADRA1B	521	521
ADRA1D	573	573
ADRA2A	466	466
ADRA2B	448	448
ADRA2C	463	463
ADRB1	478	478
ADRB2	414	414
ADRB3	409	409
ADRM1	408	408
ADSL	485	485
ADSS	457	457
ADSSL1	501	501
ADTRP	249	249
AEBP1	1159	1159
AEBP2	518	518
AEN	326	326
AES	265	265
AFAP1	815	815
AFAP1-AS1	0	0
AFAP1L1	769	769
AFAP1L2	819	872
AFDN	1744	1782
AFDN-AS1	0	0
AFF1	1219	1219
AFF2	1312	1312
AFF3	1252	1252
AFF4	1164	1164
AFG3L1P	0	0
AFG3L2	798	798
AFM	600	600
AFMID	309	309
AFP	610	610
AFTPH	937	937
AGA	347	347
AGAP1	858	858
AGAP11	551	551
AGAP12P	0	0
AGAP1-IT1	0	0
AGAP2	1193	1193
AGAP2-AS1	0	0
AGAP3	912	912
AGAP4	687	687
AGAP5	687	687
AGAP6	687	687
AGAP7P	0	0
AGAP9	659	659
AGBL1	1113	1113
AGBL1-AS1	0	0
AGBL2	903	903
AGBL3	921	921
AGBL4	504	516
AGBL4-IT1	0	0
AGBL5	887	887
AGBL5-AS1	0	0
AGER	421	421
AGFG1	585	585
AGFG2	482	482
AGGF1	715	715
AGK	423	423
AGL	1533	1533
AGMAT	353	353
AGMO	446	446
AGO1	858	892
AGO2	860	860
AGO3	861	861
AGO4	862	862
AGPAT1	284	284
AGPAT2	279	279
AGPAT3	377	377
AGPAT4	379	379
AGPAT4-IT1	0	0
AGPAT5	365	365
AGPS	659	659
AGR2	176	176
AGR3	167	167
AGRN	2046	2069
AGRP	133	133
AGT	486	486
AGTPBP1	1187	1279
AGTR1	395	395
AGTR2	364	364
AGTRAP	160	160
AGXT	393	393
AGXT2	515	515
AHCTF1	2276	2276
AHCTF1P1	0	0
AHCY	433	435
AHCYL1	531	531
AHCYL2	612	612
AHDC1	1604	1604
AHI1	1197	1197
AHNAK	5891	5891
AHNAK2	5796	5796
AHR	849	849
AHRR	702	720
AHSA1	339	339
AHSA2	138	185
AHSG	368	368
AHSP	103	103
AICDA	199	199
AIDA	307	307
AIF1	148	148
AIF1L	177	177
AIFM1	614	614
AIFM2	374	374
AIFM3	606	606
AIG1	239	239
AIM1	1724	1724
AIM1L	1662	1662
AIM2	344	344
AIMP1	313	337
AIMP2	321	321
AIP	331	331
AIPL1	385	385
AIRE	546	546
AIRN	0	0
AJAP1	412	412
AJUBA	539	539
AK1	195	211
AK2	240	240
AK3	228	228
AK4	224	224
AK5	563	563
AK6	173	173
AK7	724	724
AK8	480	480
AK9	1912	1912
AKAIN1	70	77
AKAP1	904	904
AKAP10	663	663
AKAP11	1902	1902
AKAP12	1783	1783
AKAP13	2818	2818
AKAP14	198	198
AKAP17A	696	696
AKAP2	962	962
AKAP3	854	854
AKAP4	855	855
AKAP5	428	428
AKAP6	2320	2320
AKAP7	349	349
AKAP8	693	693
AKAP8L	647	647
AKAP9	3908	3908
AKIP1	211	211
AKIRIN1	193	193
AKIRIN2	204	204
AKNA	1440	1440
AKNAD1	837	837
AKR1A1	326	326
AKR1B1	317	317
AKR1B10	317	317
AKR1B15	345	345
AKR1C1	324	324
AKR1C2	324	324
AKR1C3	324	324
AKR1C4	324	324
AKR1C6P	0	0
AKR1C8P	0	0
AKR1D1	327	327
AKR1E2	321	321
AKR7A2	360	360
AKR7A2P1	0	0
AKR7A3	332	332
AKR7L	0	0
AKT1	481	481
AKT1S1	257	277
AKT2	482	482
AKT3	480	480
AKTIP	293	294
ALAD	331	360
ALAS1	641	658
ALAS2	588	588
ALB	610	610
ALCAM	584	584
ALDH16A1	803	803
ALDH18A1	796	796
ALDH1A1	502	502
ALDH1A2	519	519
ALDH1A3	513	513
ALDH1B1	518	518
ALDH1L1	913	913
ALDH1L1-AS1	0	0
ALDH1L1-AS2	0	0
ALDH1L2	924	924
ALDH2	518	518
ALDH3A1	454	454
ALDH3A2	509	509
ALDH3B1	430	466
ALDH3B2	386	386
ALDH4A1	564	564
ALDH5A1	549	549
ALDH6A1	536	536
ALDH7A1	512	540
ALDH8A1	488	488
ALDH9A1	519	519
ALDOA	419	419
ALDOB	365	365
ALDOC	365	365
ALG1	465	465
ALG10	474	474
ALG10B	474	474
ALG11	493	493
ALG12	489	489
ALG13	1138	1138
ALG14	217	217
ALG1L	188	208
ALG1L2	216	216
ALG1L9P	0	0
ALG2	417	417
ALG3	439	439
ALG5	325	325
ALG6	508	508
ALG8	527	527
ALG9	612	619
ALK	1621	1621
ALKBH1	390	390
ALKBH2	262	262
ALKBH3	287	287
ALKBH3-AS1	0	0
ALKBH4	303	303
ALKBH5	395	395
ALKBH6	267	267
ALKBH7	222	222
ALKBH8	665	668
ALLC	392	392
ALMS1	4168	4168
ALMS1-IT1	0	0
ALMS1P1	0	0
ALOX12	664	664
ALOX12-AS1	0	0
ALOX12B	702	702
ALOX12P2	0	0
ALOX15	663	663
ALOX15B	677	677
ALOX15P1	0	0
ALOX5	675	675
ALOX5AP	219	219
ALOXE3	844	844
ALPI	529	529
ALPK1	1245	1245
ALPK2	2171	2171
ALPK3	1908	1908
ALPL	525	525
ALPP	536	536
ALPPL2	533	533
ALS2	1658	1658
ALS2CL	954	954
ALS2CR11	1821	1821
ALS2CR12	423	446
ALX1	327	327
ALX3	344	344
ALX4	412	412
ALYREF	265	265
AMACR	395	395
AMBN	448	448
AMBP	353	353
AMBRA1	1302	1302
AMD1	335	335
AMDHD1	427	427
AMDHD2	595	595
AMELX	206	206
AMELY	193	193
AMER1	1136	1136
AMER2	672	672
AMER3	862	862
AMFR	644	676
AMH	561	561
AMHR2	574	574
AMIGO1	494	494
AMIGO2	523	523
AMIGO3	505	505
AMMECR1	334	334
AMMECR1L	311	311
AMN	454	454
AMN1	259	259
AMOT	1085	1085
AMOTL1	957	957
AMOTL2	781	838
AMPD1	781	781
AMPD2	880	880
AMPD3	777	777
AMPH	696	696
AMT	404	404
AMTN	210	210
AMY1A	512	512
AMY1B	512	512
AMY1C	512	512
AMY2A	512	512
AMY2B	512	512
AMZ1	499	499
AMZ2	361	361
AMZ2P1	0	0
ANAPC1	1945	1945
ANAPC10	197	220
ANAPC11	197	197
ANAPC13	75	75
ANAPC15	122	191
ANAPC16	111	111
ANAPC1P1	0	0
ANAPC2	823	823
ANAPC4	809	810
ANAPC5	756	756
ANAPC7	600	600
ANG	148	148
ANGEL1	671	671
ANGEL2	545	545
ANGPT1	499	499
ANGPT2	497	497
ANGPT4	504	504
ANGPTL1	492	492
ANGPTL2	494	494
ANGPTL3	461	461
ANGPTL4	407	407
ANGPTL5	389	389
ANGPTL6	471	471
ANGPTL7	347	347
ANGPTL8	199	199
ANHX	380	380
ANK1	1898	1898
ANK2	3958	3958
ANK3	4378	4378
ANKAR	1435	1435
ANKDD1A	523	523
ANKDD1B	529	529
ANKEF1	777	777
ANKFN1	764	764
ANKFY1	1212	1212
ANKH	493	493
ANKHD1	2543	2543
ANKHD1-EIF4EBP3	2618	2618
ANKIB1	1090	1090
ANKK1	766	766
ANKLE1	670	670
ANKLE2	939	939
ANKMY1	942	1031
ANKMY2	442	442
ANKRA2	314	314
ANKRD1	320	320
ANKRD10	421	421
ANKRD11	2664	2664
ANKRD12	2063	2063
ANKRD13A	591	591
ANKRD13B	627	627
ANKRD13C	542	542
ANKRD13D	606	606
ANKRD16	362	362
ANKRD17	2604	2604
ANKRD18A	993	1055
ANKRD18B	1011	1011
ANKRD18CP	0	0
ANKRD18DP	0	0
ANKRD19P	0	0
ANKRD2	361	447
ANKRD20A1	824	824
ANKRD20A11P	0	0
ANKRD20A12P	0	0
ANKRD20A19P	0	0
ANKRD20A2	824	824
ANKRD20A3	824	824
ANKRD20A4	824	824
ANKRD20A5P	0	0
ANKRD20A8P	0	0
ANKRD20A9P	0	0
ANKRD22	192	192
ANKRD23	306	306
ANKRD24	1147	1147
ANKRD26	1711	1711
ANKRD26P1	0	0
ANKRD26P3	0	0
ANKRD27	1051	1051
ANKRD28	1054	1054
ANKRD29	302	302
ANKRD30A	1342	1342
ANKRD30B	1393	1393
ANKRD30BL	0	0
ANKRD30BP2	0	0
ANKRD30BP3	0	0
ANKRD31	1874	1874
ANKRD33	453	453
ANKRD33B	495	495
ANKRD34A	497	497
ANKRD34B	515	515
ANKRD34C	536	536
ANKRD34C-AS1	0	0
ANKRD35	1002	1002
ANKRD36	1942	1942
ANKRD36B	1354	1354
ANKRD36BP1	0	0
ANKRD36BP2	0	0
ANKRD36C	2145	2145
ANKRD37	159	159
ANKRD39	184	184
ANKRD40	369	369
ANKRD42	390	528
ANKRD44	994	994
ANKRD44-IT1	0	0
ANKRD45	267	267
ANKRD46	233	233
ANKRD49	240	240
ANKRD50	1430	1430
ANKRD52	1077	1077
ANKRD53	531	531
ANKRD54	301	301
ANKRD55	615	615
ANKRD6	728	728
ANKRD60	346	346
ANKRD61	419	419
ANKRD62	918	918
ANKRD62P1-PARP4P3	0	0
ANKRD63	381	381
ANKRD65	400	400
ANKRD66	252	252
ANKRD7	255	255
ANKRD9	318	318
ANKS1A	1135	1135
ANKS1B	1249	1249
ANKS3	657	657
ANKS4B	418	418
ANKS6	872	872
ANKUB1	545	545
ANKZF1	727	727
ANLN	1125	1125
ANO1	987	987
ANO10	661	700
ANO1-AS2	0	0
ANO2	1004	1004
ANO3	982	1043
ANO4	921	956
ANO5	914	914
ANO6	932	932
ANO7	934	934
ANO8	1233	1233
ANO9	783	783
ANOS1	681	681
ANP32A	250	250
ANP32A-IT1	0	0
ANP32AP1	0	0
ANP32B	252	252
ANP32C	235	235
ANP32D	132	132
ANP32E	269	269
ANPEP	968	968
ANTXR1	565	565
ANTXR2	490	490
ANTXRL	632	632
ANTXRLP1	0	0
ANXA1	347	347
ANXA10	325	325
ANXA11	506	506
ANXA13	358	358
ANXA2	358	358
ANXA2P1	0	0
ANXA2P2	0	0
ANXA2P3	0	0
ANXA2R	194	194
ANXA3	324	324
ANXA4	322	322
ANXA5	321	321
ANXA6	674	674
ANXA7	489	489
ANXA8	366	366
ANXA8L1	328	328
ANXA9	346	346
AOAH	687	687
AOAH-IT1	0	0
AOC1	771	771
AOC2	757	757
AOC3	764	764
AOC4P	0	0
AOX1	1339	1339
AOX3P-AOX2P	0	0
AP1AR	303	303
AP1B1	950	950
AP1B1P1	0	0
AP1G1	823	826
AP1G2	786	786
AP1M1	436	436
AP1M2	424	426
AP1S1	159	159
AP1S2	161	161
AP1S3	155	155
AP2A1	978	978
AP2A2	941	941
AP2B1	952	952
AP2M1	434	461
AP2S1	143	159
AP3B1	1095	1095
AP3B2	1083	1102
AP3D1	1216	1216
AP3M1	419	419
AP3M2	419	419
AP3S1	194	194
AP3S2	0	194
AP4B1	740	740
AP4B1-AS1	0	0
AP4E1	1138	1138
AP4M1	454	454
AP4S1	160	160
AP5B1	879	879
AP5M1	491	491
AP5S1	201	201
AP5Z1	808	808
APAF1	1249	1249
APBA1	838	838
APBA2	750	750
APBA3	576	576
APBB1	709	711
APBB1IP	667	667
APBB2	760	760
APBB3	492	494
APC	2844	2844
APC2	2304	2304
APCDD1	515	515
APCDD1L	502	513
APCDD1L-AS1	0	0
APCS	224	224
APEH	733	733
APELA	55	55
APEX1	319	319
APEX2	519	519
APH1A	266	266
APH1B	258	258
API5	525	525
APIP	243	243
APITD1-CORT	78	165
APLF	512	512
APLN	78	78
APLNR	381	381
APLP1	652	652
APLP2	762	764
APMAP	417	417
APOA1	268	268
APOA1-AS	0	0
APOA2	101	101
APOA4	397	397
APOA5	367	367
APOB	4564	4564
APOBEC1	237	237
APOBEC2	225	225
APOBEC3A	200	200
APOBEC3B	383	383
APOBEC3B-AS1	0	0
APOBEC3C	191	191
APOBEC3D	387	387
APOBEC3F	374	374
APOBEC3G	385	385
APOBEC3H	201	201
APOBEC4	368	368
APOBR	1098	1098
APOC1	84	84
APOC1P1	0	0
APOC2	102	102
APOC3	100	100
APOC4	128	128
APOC4-APOC2	0	0
APOD	190	190
APOE	318	344
APOF	327	327
APOH	346	346
APOL1	399	415
APOL2	338	338
APOL3	403	403
APOL4	351	351
APOL5	434	434
APOL6	344	344
APOLD1	280	280
APOM	189	189
APOO	199	199
APOOL	269	269
APOOP5	0	0
APOPT1	191	207
APP	771	771
APPBP2	586	586
APPL1	710	710
APPL2	671	671
APRT	181	181
APTR	0	0
APTX	357	357
AQP1	324	324
AQP10	302	302
AQP11	272	272
AQP12A	296	296
AQP12B	308	308
AQP2	272	272
AQP3	293	293
AQP4	324	353
AQP4-AS1	0	0
AQP5	266	266
AQP6	283	283
AQP7	343	343
AQP7P1	0	0
AQP7P3	0	0
AQP8	262	262
AQP9	296	296
AQR	1486	1486
AR	921	921
ARAF	610	610
ARAP1	1451	1451
ARAP2	1705	1705
ARAP3	1545	1545
ARC	397	397
ARCN1	512	512
AREG	253	253
AREL1	824	824
ARF1	182	182
ARF3	182	182
ARF4	181	181
ARF4-AS1	0	0
ARF5	181	181
ARF6	176	176
ARFGAP1	415	415
ARFGAP2	522	522
ARFGAP3	517	517
ARFGEF1	1850	1850
ARFGEF2	1786	1786
ARFGEF3	2178	2178
ARFIP1	374	374
ARFIP2	375	375
ARFRP1	202	202
ARG1	323	331
ARG2	355	355
ARGFX	316	316
ARGFXP2	0	0
ARGLU1	274	274
ARHGAP1	440	440
ARHGAP10	787	787
ARHGAP11A	1024	1024
ARHGAP11B	268	268
ARHGAP12	847	847
ARHGAP15	476	476
ARHGAP17	882	882
ARHGAP18	664	664
ARHGAP19	495	495
ARHGAP19-SLIT1	0	0
ARHGAP20	1192	1192
ARHGAP21	1959	1959
ARHGAP22	705	715
ARHGAP23	1492	1492
ARHGAP24	749	749
ARHGAP25	647	647
ARHGAP26	815	815
ARHGAP26-AS1	0	0
ARHGAP26-IT1	0	0
ARHGAP27	549	890
ARHGAP27P1	0	0
ARHGAP27P1-BPTFP1-KPNA2P3	0	0
ARHGAP28	571	571
ARHGAP29	1262	1262
ARHGAP30	1102	1102
ARHGAP31	1445	1445
ARHGAP31-AS1	0	0
ARHGAP32	2088	2088
ARHGAP33	1127	1127
ARHGAP35	1500	1500
ARHGAP36	548	548
ARHGAP39	1115	1115
ARHGAP4	947	987
ARHGAP40	675	675
ARHGAP42	875	875
ARHGAP44	819	819
ARHGAP45	1153	1153
ARHGAP5	1503	1503
ARHGAP5-AS1	0	0
ARHGAP6	975	975
ARHGAP8	465	465
ARHGAP9	732	822
ARHGDIA	205	338
ARHGDIB	202	202
ARHGDIG	226	226
ARHGEF1	928	928
ARHGEF10	1345	1369
ARHGEF10L	1280	1280
ARHGEF11	1563	1563
ARHGEF12	1545	1545
ARHGEF15	842	842
ARHGEF16	710	710
ARHGEF17	2064	2064
ARHGEF18	1174	1174
ARHGEF19	803	803
ARHGEF2	987	987
ARHGEF25	620	620
ARHGEF26	872	872
ARHGEF26-AS1	0	0
ARHGEF28	1732	1732
ARHGEF3	559	559
ARHGEF33	871	871
ARHGEF34P	0	0
ARHGEF35	485	485
ARHGEF37	676	676
ARHGEF38	778	778
ARHGEF38-IT1	0	0
ARHGEF39	336	336
ARHGEF3-AS1	0	0
ARHGEF4	691	691
ARHGEF40	1520	1520
ARHGEF5	1598	1598
ARHGEF6	777	777
ARHGEF7	804	804
ARHGEF7-AS1	0	0
ARHGEF7-AS2	0	0
ARHGEF9	464	517
ARHGEF9-IT1	0	0
ARID1A	2286	2286
ARID1B	2250	2290
ARID2	1836	1836
ARID3A	594	594
ARID3B	561	562
ARID3C	413	413
ARID4A	1258	1258
ARID4B	1313	1313
ARID5A	595	649
ARID5B	1189	1189
ARIH1	558	558
ARIH2	494	494
ARIH2OS	291	291
ARL1	182	182
ARL10	245	277
ARL11	197	197
ARL13A	0	257
ARL13B	429	429
ARL14	193	193
ARL14EP	261	261
ARL14EPL	153	153
ARL15	205	205
ARL16	198	198
ARL17A	178	178
ARL17B	178	178
ARL2	185	185
ARL2BP	164	164
ARL2-SNX15	0	0
ARL3	183	183
ARL4A	201	201
ARL4C	193	202
ARL4D	202	202
ARL5A	180	180
ARL5B	180	180
ARL5C	180	180
ARL6	187	194
ARL6IP1	204	204
ARL6IP4	422	422
ARL6IP5	189	189
ARL6IP6	227	227
ARL8A	187	187
ARL8B	187	187
ARL9	124	124
ARMC1	283	283
ARMC10	344	344
ARMC12	368	368
ARMC2	868	868
ARMC2-AS1	0	0
ARMC3	873	873
ARMC4	1045	1045
ARMC4P1	0	0
ARMC5	936	1031
ARMC6	477	502
ARMC7	199	199
ARMC8	660	660
ARMC9	818	818
ARMCX1	454	454
ARMCX2	633	633
ARMCX3	380	380
ARMCX4	2291	2291
ARMCX5	559	559
ARMCX5-GPRASP2	839	839
ARMCX6	301	301
ARMS2	108	108
ARMT1	442	442
ARNT	790	790
ARNT2	718	718
ARNTL	626	627
ARNTL2	637	637
ARNTL2-AS1	0	0
ARPC1A	371	371
ARPC1B	373	373
ARPC2	301	301
ARPC3	179	179
ARPC4	188	188
ARPC4-TTLL3	626	626
ARPC5	155	155
ARPC5L	154	154
ARPIN	227	227
ARPP19	113	132
ARPP21	814	814
ARR3	389	389
ARRB1	419	419
ARRB2	422	431
ARRDC1	434	443
ARRDC1-AS1	0	0
ARRDC2	408	408
ARRDC3	415	415
ARRDC3-AS1	0	0
ARRDC4	419	419
ARRDC5	343	343
ARSA	510	510
ARSB	534	534
ARSD	594	594
ARSD-AS1	0	0
ARSE	590	615
ARSF	591	591
ARSG	526	526
ARSH	563	563
ARSI	570	570
ARSJ	600	600
ARSK	537	537
ART1	328	328
ART3	390	390
ART4	315	315
ART5	292	292
ARTN	229	229
ARV1	272	305
ARVCF	963	963
ARX	563	563
AS3MT	376	376
ASAH1	412	412
ASAH2	781	781
ASAH2B	166	166
ASAP1	1130	1130
ASAP1-IT1	0	0
ASAP1-IT2	0	0
ASAP2	1007	1007
ASAP3	904	904
ASB1	336	336
ASB10	468	468
ASB11	324	324
ASB12	319	319
ASB13	279	279
ASB14	588	588
ASB15	589	589
ASB16	454	454
ASB16-AS1	0	0
ASB17	296	296
ASB18	467	467
ASB2	636	636
ASB3	519	519
ASB4	427	427
ASB5	330	330
ASB6	422	422
ASB7	319	319
ASB8	289	289
ASB9	295	295
ASB9P1	0	0
ASCC1	401	401
ASCC2	758	758
ASCC3	2203	2203
ASCL1	237	237
ASCL2	194	194
ASCL3	182	182
ASCL4	174	174
ASCL5	207	207
ASF1A	205	205
ASF1B	203	203
ASGR1	292	292
ASGR2	312	312
ASH1L	2965	2965
ASH1L-AS1	0	0
ASH2L	629	629
